drug1,drug2,risk_level,notes
Warfarin,Aspirin,High Risk,May increase bleeding risk due to additive anticoagulant effects.
Paracetamol,Ibuprofen,Moderate Risk,Commonly used together but may increase gastrointestinal irritation.
Amoxicillin,Metformin,Safe,No significant interactions reported.
Atorvastatin,Clarithromycin,High Risk,Increased statin levels may lead to muscle toxicity.
Losartan,Ibuprofen,Moderate Risk,May reduce antihypertensive effect of Losartan and harm kidneys.
Digoxin,Furosemide,High Risk,Furosemide may increase risk of digoxin toxicity due to potassium loss.
Metoprolol,Albuterol,Moderate Risk,May reduce bronchodilator effectiveness of albuterol.
Sildenafil,Nitroglycerin,High Risk,Severe hypotension risk when combined.
Amiodarone,Simvastatin,High Risk,May increase risk of statin-related muscle injury.
Fluoxetine,Tramadol,High Risk,Risk of serotonin syndrome when combined.
Omeprazole,Clopidogrel,Moderate Risk,Omeprazole reduces effectiveness of Clopidogrel via CYP2C19 inhibition.
Ibuprofen,Aspirin,High Risk,Increased risk of gastrointestinal bleeding when used together.
Paracetamol,Ciprofloxacin,Safe,No clinically significant interaction reported.
Amoxicillin,Ciprofloxacin,Moderate Risk,Combining two antibiotics may increase side effects and risk of resistance.
Metformin,Ibuprofen,Moderate Risk,NSAIDs may impair renal function and affect metformin clearance.
Atorvastatin,Amlodipine,Safe,No significant interaction; both commonly co-prescribed.
Lisinopril,Potassium,High Risk,ACE inhibitors combined with potassium supplements may cause hyperkalemia.
Warfarin,Ibuprofen,High Risk,NSAIDs increase bleeding risk significantly when combined with warfarin.
Warfarin,Ciprofloxacin,High Risk,Ciprofloxacin inhibits warfarin metabolism raising bleeding risk.
Warfarin,Paracetamol,Moderate Risk,High doses of paracetamol may enhance anticoagulant effect of warfarin.
Sertraline,Tramadol,High Risk,Risk of serotonin syndrome; avoid combination.
Sertraline,Ibuprofen,Moderate Risk,Increased risk of gastrointestinal bleeding when combined.
Citalopram,Tramadol,High Risk,Risk of serotonin syndrome when combined.
Fluoxetine,Warfarin,High Risk,Fluoxetine inhibits warfarin metabolism increasing bleeding risk.
Omeprazole,Methotrexate,Moderate Risk,Omeprazole may increase methotrexate levels causing toxicity.
Atenolol,Amlodipine,Safe,Commonly combined for hypertension; no major interaction.
Atenolol,Insulin,Moderate Risk,Beta-blockers may mask hypoglycaemia symptoms in diabetic patients.
Metoprolol,Verapamil,High Risk,Combined use may cause severe bradycardia or heart block.
Amlodipine,Simvastatin,Moderate Risk,Amlodipine may increase simvastatin exposure increasing myopathy risk.
Lisinopril,Ibuprofen,Moderate Risk,NSAIDs may reduce antihypertensive effect and worsen kidney function.
Lisinopril,Spironolactone,High Risk,Combined use increases risk of dangerous hyperkalemia.
Azithromycin,Warfarin,High Risk,Azithromycin may enhance anticoagulant effect of warfarin.
Azithromycin,Amiodarone,High Risk,Both prolong QT interval increasing risk of fatal arrhythmia.
Ciprofloxacin,Theophylline,High Risk,Ciprofloxacin inhibits theophylline metabolism causing toxicity.
Ciprofloxacin,Antacid,Moderate Risk,Antacids reduce absorption of ciprofloxacin significantly.
Metformin,Alcohol,High Risk,Alcohol increases risk of lactic acidosis with metformin.
